,Cumulative,Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,Region
4,48,2,80,3/11/2020,0,0,ICT
5,61,0,95,3/11/2020,0,0,Punjab
6,84,14,171,3/11/2020,1,0,Sindh
7,20,0,28,3/11/2020,0,0,KP
8,3,0,0,3/11/2020,0,0,KPTD
9,19,1,18,3/11/2020,0,0,Balochistan
10,3,0,4,3/11/2020,0,0,AJK
11,10,2,26,3/11/2020,0,0,GB
4,52,2,85,3/12/2020,0,0,ICT
5,67,0,105,3/12/2020,0,0,Punjab
6,89,14,198,3/12/2020,2,0,Sindh
7,24,0,29,3/12/2020,0,0,KP
8,3,0,0,3/12/2020,0,0,KPTD
9,23,1,18,3/12/2020,0,0,Balochistan
10,3,0,8,3/12/2020,0,0,AJK
11,10,3,28,3/12/2020,0,0,GB
4,57,2,92,3/13/2020,0,0,ICT
5,71,0,110,3/13/2020,0,0,Punjab
6,107,15,240,3/13/2020,2,0,Sindh
7,27,0,30,3/13/2020,0,0,KP
8,4,0,0,3/13/2020,0,0,KPTD
9,31,1,18,3/13/2020,0,0,Balochistan
10,4,0,9,3/13/2020,0,0,AJK
11,17,3,32,3/13/2020,0,0,GB
4,62,3,99,3/14/2020,0,0,ICT
5,77,0,116,3/14/2020,0,0,Punjab
6,119,16,282,3/14/2020,3,0,Sindh
7,29,0,31,3/14/2020,0,0,KP
8,4,0,0,3/14/2020,0,0,KPTD
9,45,6,35,3/14/2020,0,0,Balochistan
10,4,0,10,3/14/2020,0,0,AJK
11,23,3,36,3/14/2020,0,0,GB
4,65,4,115,3/15/2020,0,0,ICT
5,83,0,126,3/15/2020,0,0,Punjab
6,127,18,315,3/15/2020,3,0,Sindh
7,30,0,32,3/15/2020,0,0,KP
8,5,0,0,3/15/2020,0,0,KPTD
9,45,6,42,3/15/2020,0,0,Balochistan
10,4,0,11,3/15/2020,0,0,AJK
11,23,3,45,3/15/2020,0,0,GB
4,69,4,147,3/16/2020,0,0,ICT
5,95,1,166,3/16/2020,0,0,Punjab
6,135,34,364,3/16/2020,3,0,Sindh
7,36,0,32,3/16/2020,0,0,KP
8,5,0,0,3/16/2020,0,0,KPTD
